Gene_ID,Gene_name
1081_at,ODC1
1161_at,HSP90AB1
1173_g_at,SAT1
1179_at,HSPA8
1235_at,YWHAZ
1336_s_at,PRKCB
1424_s_at,YWHAH
1768_s_at,CSK
1780_at,FGR
1836_at,CCNI
1984_s_at,ARHGDIB
245_at,SELL
31481_s_at,TMSB10
31697_s_at,FTH1P5
32576_at,EIF3F
32588_s_at,ZFP36L2
32766_at,XRCC6
32806_at,TSPO
33984_at,HSP90AB1
34279_at,LOC100506032
34830_at,VOPP1
34877_at,JAK1
34960_g_at,FCER2
35017_f_at,HLA-J
35175_f_at,EEF1A2
35363_at,DDX17
35926_s_at,LYZ
36131_at,CLIC1
36169_at,NDUFA1
36616_at,DAZAP2
36634_at,BTG2
36675_r_at,PFN1
36773_f_at,LOC100293977
37021_at,CTSH
37043_at,ID3
37294_at,BTG1
37307_at,GNAI2
37421_f_at,HLA-F
37988_at,CD79B
38378_at,CD53
38456_s_at,SNRPB
38527_at,NONO
38976_at,CORO1A
39025_at,C4orf46
39027_at,COX4I1
39182_at,EMP3
40211_at,HNRNPA1
404_at,IL4R
40771_at,MSN
41143_at,CALM1
41168_at,TAPBP
41185_f_at,SUMO2
41206_r_at,COX6A1P2
41352_at,ST6GAL1
41827_f_at,GUSBP11
571_at,NAP1L1
769_s_at,ANXA2P3
AFFX-HUMGAPDH/M33197_M_at,GAPDH
